id_releve;X;Y;echantillonnage;provenance;parc
G53;7.378233;44.060499;2018;gueguen;pnm
G63;7.37701;44.061093;2018;gueguen;pnm
G73;7.37499;44.064313;2018;gueguen;pnm
G83;7.371218;44.06636;2018;gueguen;pnm
153;6.753498;44.239149;1980;gueguen;pnm
113;6.764036;44.248594;1980;gueguen;pnm
103;6.763895;44.249666;1980;gueguen;pnm
93;6.761481;44.249836;1980;gueguen;pnm
83;6.761289;44.250605;1980;gueguen;pnm
73;6.760759;44.251299;1980;gueguen;pnm
63;6.760265;44.252994;1980;gueguen;pnm
53;6.759175;44.254382;1980;gueguen;pnm
117;6.76707;44.260496;1980;gueguen;pnm
127;6.7685;44.259205;1980;gueguen;pnm
18;6.750839;44.237453;1980;gueguen;pnm
138;6.746233;44.237;1980;gueguen;pnm
128;6.745396;44.235808;1980;gueguen;pnm
573;6.756089;44.2023;1980;gueguen;pnm
583;6.756181;44.204606;1980;gueguen;pnm
195;6.743717;44.208519;1980;gueguen;pnm
315;6.737165;44.228637;1980;gueguen;pnm
305;6.734579;44.231252;1980;gueguen;pnm
295;6.730936;44.232074;1980;gueguen;pnm
285;6.730444;44.237037;1980;gueguen;pnm
275;6.735004;44.24185;1980;gueguen;pnm
466;6.716303;44.19653;1980;gueguen;pnm
476;6.71824;44.196965;1980;gueguen;pnm
106;6.723628;44.208462;1980;gueguen;pnm
268;6.813674;44.20186;1980;gueguen;pnm
278;6.810311;44.200495;1980;gueguen;pnm
258;6.818572;44.198116;1980;gueguen;pnm
248;6.816101;44.197417;1980;gueguen;pnm
238;6.81878;44.190416;1980;gueguen;pnm
228;6.819711;44.187594;1980;gueguen;pnm
235;6.744092;44.183905;1980;gueguen;pnm
24;6.714839;44.170682;1980;gueguen;pnm
54;6.718808;44.167497;1980;gueguen;pnm
74;6.720786;44.165339;1980;gueguen;pnm
124;6.714053;44.160054;1980;gueguen;pnm
114;6.709644;44.159746;1980;gueguen;pnm
104;6.706817;44.16141;1980;gueguen;pnm
94;6.705477;44.161281;1980;gueguen;pnm
614;6.703209;44.160857;1980;gueguen;pnm
A33;7.421558;43.993712;1980;gueguen;pnm
A53;7.423615;43.9957;1980;gueguen;pnm
A224;7.36564;44.032688;1980;gueguen;pnm
G93;7.371889;44.067619;2018;gueguen;pnm
325;6.741934;44.228005;1980;gueguen;pnm
255;6.756181;44.151907;1980;gueguen;pnm
2019_36;6.767771;44.272587;2019new;new;pnm
2019_37;6.765203;44.274677;2019new;new;pnm
2019_38;6.766751;44.277312;2019new;new;pnm
2019_39;6.771949;44.278006;2019new;new;pnm
2019_41;6.790852;44.239702;2019new;new;pnm
2019_42;6.797947;44.23934;2019new;new;pnm
2019-01;6.96271;44.149784;2019new;new;pnm
2019-02;6.955141;44.150048;2019new;new;pnm
2019-03;6.968799;44.148902;2019new;new;pnm
2019-04;6.972032;44.145422;2019new;new;pnm
2019-05;6.97843;44.143243;2019new;new;pnm
2019-06;6.989912;44.138459;2019new;new;pnm
2019-07;7.000651;44.137273;2019new;new;pnm
2019-08;7.525239;44.126969;2019new;new;pnm
2019-09;7.521824;44.133213;2019new;new;pnm
2019-10;7.518889;44.135622;2019new;new;pnm
2019-11;7.510659;44.138477;2019new;new;pnm
2019-12;6.842801;44.329013;2019new;new;pnm
2019-13;6.83296;44.326926;2019new;new;pnm
2019-14;6.821558;44.324675;2019new;new;pnm
2019-15;6.81707;44.324403;2019new;new;pnm
2019-16;6.811691;44.325577;2019new;new;pnm
2019-17;6.808444;44.325404;2019new;new;pnm
2019-20;6.861302;44.397922;2019new;new;pnm
2019-21;6.859583;44.389514;2019new;new;pnm
2019-22;6.853124;44.398867;2019new;new;pnm
2019-23;6.852513;44.409065;2019new;new;pnm
2019-24;6.860664;44.404781;2019new;new;pnm
2019-25;6.876096;44.389566;2019new;new;pnm
2019-27;6.869088;44.38086;2019new;new;pnm
2019-28;6.869998;44.375213;2019new;new;pnm
2019-29;6.875576;44.367751;2019new;new;pnm
2019-30;6.875625;44.361369;2019new;new;pnm
2019-33;6.716625;44.171479;2019new;new;pnm
2019-40;6.785707;44.243898;2019new;new;pnm
2019-43;7.456459;44.056262;2019new;new;pnm
2019-44;7.452246;44.053631;2019new;new;pnm
2019-44bis;7.442868;44.049532;2019new;new;pnm
2019-45;7.431876;44.049458;2019new;new;pnm
2019-47;7.429151;44.055784;2019new;new;pnm
Drouvet-Orciere J;6.320227;44.68214;2019;gueguen;pne
Drouvet-Orciere H;6.318949;44.701431;2019;gueguen;pne
Drouvet-Orciere G;6.31709;44.704422;2019;gueguen;pne
Drouvet-Orciere F;6.316558;44.706817;2019;gueguen;pne
Drouvet-Orciere E;6.312407;44.71021;2019;gueguen;pne
Drouvet-Orciere D;6.310855;44.71288;2019;gueguen;pne
Drouvet-Orciere C;6.313942;44.715244;2019;gueguen;pne
Drouvet-Orciere B;6.315079;44.718179;2019;gueguen;pne
Drouvet-Orciere A;6.314882;44.718802;2019;gueguen;pne
Drouvet-Orciere I;6.325817;44.686533;2019;gueguen;pne
LaBlanche-Vallouise A;6.436659;44.859164;2019;gueguen;pne
LaBlanche-Vallouise B;6.438449;44.858989;2019;gueguen;pne
LaBlanche-Vallouise C;6.443694;44.857175;2019;gueguen;pne
LaBlanche-Vallouise D;6.455163;44.856964;2019;gueguen;pne
LaBlanche-Vallouise E;6.457516;44.857241;2019;gueguen;pne
LaBlanche-Vallouise F;6.461096;44.857985;2019;gueguen;pne
LaBlanche-Vallouise G;6.461767;44.857713;2019;gueguen;pne
LaBlanche-Vallouise H;6.462372;44.858127;2019;gueguen;pne
LaBlanche-Vallouise I;6.465972;44.857318;2019;gueguen;pne
LaBlanche-Vallouise J;6.469269;44.855767;2019;gueguen;pne
LaBlanche-Vallouise K;6.472769;44.855425;2019;gueguen;pne
LaBlanche-Vallouise L;6.474235;44.855252;2019;gueguen;pne
LaBlanche-Vallouise M;6.478754;44.854415;2019;gueguen;pne
LaBlanche-Vallouise N;6.484207;44.845923;2019;gueguen;pne
Combeynot-Lautaret A;6.396542;45.023749;2019;gueguen;pne
Combeynot-Lautaret B;6.397153;45.024158;2019;gueguen;pne
Combeynot-Lautaret C;6.397636;45.024737;2019;gueguen;pne
Combeynot-Lautaret D;6.397894;45.025125;2019;gueguen;pne
Combeynot-Lautaret E;6.398404;45.025277;2019;gueguen;pne
Combeynot-Lautaret F;6.399251;45.025412;2019;gueguen;pne
Combeynot-Lautaret L;6.405418;45.028766;2019;gueguen;pne
Combeynot-Lautaret M;6.409751;45.034205;2019;gueguen;pne
Combeynot-Lautaret G;6.399918;45.025443;2019;gueguen;pne
Combeynot-Lautaret H;6.400229;45.025639;2019;gueguen;pne
Combeynot-Lautaret I;6.400121;45.025763;2019;gueguen;pne
Combeynot-Lautaret J;6.400534;45.026019;2019;gueguen;pne
Combeynot-Lautaret K;6.400749;45.026311;2019;gueguen;pne
